177188,2032,31567,7844,16209,102411,16923,28059,2966,259482,0
11946,2188,4023,3396,934,7086,51825,6391,6458,5739,1
17649,29983,5360,32829,4560,78006,115857,70998,107051,3110,0
43467,13217,8778,2112,2838,22273,2091,2874,92588,6934,1
62502,2413,38843,37322,24251,51291,206,13177,25393,49377,1
13263,42057,2420,9464,8885,11313,12595,1042,187947,14908,1
1141,0,0,0,0,0,0,0,0,0,1
7122,21541,8815,4932,26878,11996,6990,2507,10553,1133,0
5156,10357,11433,22975,9956,12580,37066,14652,519,3852,1
5464,16522,19920,6307,6037,18876,27044,9428,8813,707,0
204,3276,16208,44414,66782,15719,6765,6499,6722,29212,0
27344,2776,5241,2956,7942,52452,32783,11300,6618,21423,0
99,2333,309,3515,3109,30088,928,4453,8478,1517,0
7630,27749,1713,3890,111329,14251,84761,2146,12031,73820,1
3678,9626,13546,62928,288,5037,3826,5366,27414,12219,0
13557,8335,1733,891,1205,15503,39935,1804,1492,3238,0
11715,145,50999,308,116679,15536,11573,26167,14741,2249,0
7226,4053,22355,20276,2174,54940,17624,80246,9224,35740,1
96635,163394,9221,13708,49237,9202,13684,12835,3385,4184,1
73355,2804,40346,5904,9226,195109,1148,17137,31035,52648,0
11895,59887,17976,18363,16022,7713,1494,26206,10598,1716,1
3603,157,1986,105477,68226,6099,1381,3417,5249,3152,0
118325,11496,178396,4946,115635,53321,128818,22561,11701,418981,1
6048,38154,46870,11562,2564,16869,4528,4511,163,49257,1
9488,54217,1008,23195,13121,19255,2915,1089455,25625,19950,1
28606,33999,23180,28036,7900,5221,7901,17970,39756,8371,1
2746,14731,15172,92730,36241,240,1064,4979,79426,236,1
13569,5686,14702,12533,10294,72163,1190,36818,2843,1551,0
105,105,1560,103,302,584,3305,691,584,1728,0
14812,31556,6112,2697,27273,14618,1271,51840,6275,19997,1
10912,9584,114337,100759,70512,16183,24837,36824,8031,62469,1
7464,115865,43900,1902,16758,420340,6364,198362,1545,874,1
23354,82453,29301,4611,187723,16109,16395,3142,277,8678,1
656734,8059,103770,33192,25089,177262,149155,680253,30591,50889,0
6888,52144,45754,16284,5591,8926,39406,11688,7227,1970,0
274837,14221,16961,8326,176941,34563,20370,29915,153,27777,1
2839,882,0,0,140082,0,0,0,0,0,1
168481,760364,31604,493725,68714,32041,22628,29219,4771,52201,1
5352,193193,143967,328,130157,3405,51835,482973,15858,11757,0
1662,2765,2619,4474,25929,23120,7629,15333,317890,28056,0
0,40926,0,6270,0,0,0,0,0,0,1
8771,4759,2918,3885,11599,4388,8479,313,154959,6439,1
0,0,0,0,1247,0,0,0,0,0,1
1071,143,0,0,1120,0,0,0,0,0,1
230,4311,8113,356758,3910,20456,24432,18227,42338,6994,0
1880,17613,726,112880,39950,11535,23175,2434,16379,694,0
26198,0,20075,0,0,0,0,0,0,0,1
15605,30737,1288691,11087,36977,242750,305698,43257,38238,342066,1
51173,52139,3872,59440,56851,10523,137269,36126,33455,402315,0
37565,54255,1293,1413021,85289,8067,170826,52323,11205,8489,1
5711,8397,11892,12244,12446,134693,69019,6998,187147,3403,0
993,7146,4876,25503,148,1881,4361,1073,1793,835,0
4272,0,0,0,3310,0,0,0,0,0,1
249,742,5777,15458,7025,11951,4511,1404,2919,8050,0
31093,196905,2606,17364,1929,9262,44396,9201,54640,246815,0
70530,25201,5548,2766,214791,25087,193913,115712,4936,6463,0
1334440,88714,170633,60146,15586,62706,11267,137407,16530,9748,0
1339,2105,3379,2276,11576,575,17758,32956,1501,10975,1
93136,5991,188180,39818,30707,195827,44749,29387,40269,48529,0
4325,11744,350829,7011,3178,14819,7090,81832,30667,54238,0
11480,10779,10184,6237,912,283,20026,185,428,9357,1
2150,216,2906,9609,27354,8186,675,3973,18590,2048,0
85204,48165,14921,16649,3312,59318,66995,16857,42202,45346,0
1433,224,112,6325,6339,6760,3998,5028,669,669,0
176102,10575,18002,861,8613,3052,465,108,1833,443,1
6234,9499,47257,39045,5130,33243,84846,174088,2864,12997,0
15778,18089,70772,59938,6556,9096,42823,603,159,2493,1
24294,11281,51192,13941,4402,384020,32598,25460,61269,1154,0
4218,2215,2631,2562,2486,1750,0,0,0,0,1
31422,32689,60922,8690,4333,10118,1336,3590,33284,40176,1
145195,68675,210352,11099,5365,17299,7233,57104,62931,17811,1
30199,2196,3425,13184,943,10538,58349,183,30641,183,1
65780,25682,10415,101030,3321,381,1472,43291,27729,43827,1
2387,3168,1308,5630,15530,8591,184,1685,2175,2024,1
11285,18199,34421,10524,10802,112860,23823,2836,37553,14594,1
5532,4193,21719,15940,50927,10217,6571,4745,8208,12035,1
322643,24689,161564,6444,1098,68067,66619,61914,20790,420682,0
68764,6636,614,540,5671,80200,8447,4105,51998,16703,0
3655,10184,5532,54423,3889,1932,1577,1040,1294,2591,1
1963,5834,2482,1507,10797,7290,3228,4988,1201,37270,0
27671,32129,1087,8657,159768,9279,13031,11941,4491,232724,0
116,308,7288,14086,121,2059,15930,19387,21988,5169,0
7524,27871,27347,49293,9110,119983,24539,25411,207,70818,1
13961,5450,1760,85551,83459,149049,32816,45432,10669,36498,1
13292,535,158,4614,6080,3290,8198,3794,1038,1038,0
70,35799,68,10920,5281,658,10778,671,22197,245983,0
20901,61256,168854,117213,206413,12630,109855,1979,35320,21038,1
31129,5935,214,18304,11554,17132,30209,7336,7192,21879,0
20877,245,10155,29461,110610,29258,4174,4092,93519,31912,0
14704,1223,16958,1351,1095,2845,12387,2825,4672,4345,0
2649,5452,112682,34078,2640,33149,362229,6116,49737,7944,1
4056,1252,9699,6744,3928,4277,2677,11333,13586,45772,0
295,3415,82909,7728,35875,488525,40121,311811,90828,17055,0
47017,70582,78689,58397,28896,28703,28304,1575,200,2151,1
2770,3746,1683,24882,23499,2498,1096,1057,143,16060,1
26328,12651,69349,3044,24045,29230,62454,70204,50537,276229,0
8749,5559,50099,86437,358659,11586,23835,3236,890398,331663,1
