3000,10
7416,54862,50898,3067,5122,44282,23886,10734,2550,1732,0
17712,14240,191,1471,6266,179463,5459,168591,6104,231559,0
12506,128187,32846,276623,33603,114696,24336,2325,70908,226895,0
2794,89414,331077,86510,9430,4706,29584,52084,11073,79970,1
10492,11100,34474,9313,10501,19125,28738,4697,33426,161926,0
5607,51288,43231,204,24397,49352,10400,17920,16045,1289,0
5684,5870,4012,13129,3049,3415,11292,8612,4868,1340,1
64735,47120,7669,31533,3825,44249,24267,13599,15870,21591,1
626708,197756,11371,191494,67346,148612,14910,51198,408663,6569,0
26534,26883,308,174728,29764,32549,63464,12049,65242,49026,0
28092,7461,5009,3948,1515,62237,16139,55365,21515,15061,1
2360,7477,50603,4880,34348,18158,7960,1390,10886,15530,1
1958,10095,5089,54049,44403,18798,8616,315083,79989,38925,0
7952,4102,21317,16944,1504,1696,9507,6045,729,6694,0
3125,0,0,0,0,0,0,0,0,0,0
188259,24009,3616,69397,1269,1362,66784,8377,173,8097,1
6382,0,0,0,0,0,0,0,0,0,1
7215,12223,89647,25638,275,18687,85033,29816,42572,9561,0
12785,908,1415,24906,5626,1375,1958,13766,14737,5019,0
610451,3134,21652,129339,146405,65478,24799,28656,446,179234,1
29449,14341,1508,775,6014,98387,31138,313762,35795,56813,0
3540,991,1360,50763,7234,4813,14943,4140,2540,4003,0
2557,10092,11206,6928,15141,130,12979,1932,4888,5564,1
22360,1629,337,137731,30746,23012,75673,41534,45560,920,0
5145,84700,3543,246959,11897,1877,6535,34281,2241,1709758,1
2326,19435,2566,85202,27512,3734,191411,188,36368,88612,1
124592,238528,1763,80753,222706,7870,56207,34894,92102,22014,0
1001,3025,1001,4555,2181,1247,4681,6952,1271,8754,1
63342,52899,84852,8862,3206,161,20942,261288,269653,167828,1
5518,2981,119535,12806,18116,107592,96905,4001,81572,240718,0
33095,3443,118648,17500,57667,3435,4327,4362,28176,4980,1
25584,47076,14238,63566,176813,2886,1850,9904,557,23047,1
0,1404,0,0,0,0,0,0,0,0,1
0,977,0,0,0,0,0,0,0,0,1
95817,11821,456,38142,141585,11577,9875,3124,18355,2293,0
45498,1613,7422,4141,112400,45351,287967,52338,64212,10529,1
203405,8387,11438,14799,59944,12706,4630,76693,638,8169,1
15952,7797,15106,39597,6071,317735,8756,17250,27190,22782,1
114837,356063,12138,8958,2763,24640,53561,6081,226766,358,1
181,19949,185,16744,9676,1650,23186,4098,9832,3004,0
12156,36815,18625,66637,5773,43509,21062,27318,42887,61902,1
6109,20211,201586,129128,29125,714383,98423,7069,15596,9830,1
84595,23631,29574,140282,92988,2752,229376,27303,14550,18703,1
135624,108552,726,1328,16671,292,10965,1030,65161,8906,1
67945,2702,10553,145453,19634,19944,13395,2971,55007,9147,1
16205,6635,22456,73575,2133,2647,9074,64994,107886,9308,0
0,7156,2178,9363,149,23565,4611,6027,2431,1080,0
44035,571562,32420,103822,6923,351157,34304,26240,219039,2702,1
31922,5144,210644,11387,147191,19163,24756,13924,5114,15463,0
52441,24102,24211,192913,5224,6455,47614,1322,29816,3993,0
138377,28320,53972,40505,29363,272,43039,6571,5325,6432,1
20662,116,93073,4337,5842,11121,18364,4049,674,17590,0
320678,4179,72856,30862,563,55638,12929,4643,2447,61729,1
6462,53975,63586,38553,34415,32613,12949,9720,5739,41397,1
4174,775,6264,57671,3595,5088,6337,7878,32741,10790,1
13812,164,7710,4675,35470,2024,31246,9445,26988,31650,0
245,6981,2629,13519,9851,960,14850,12261,4469,6436,0
74825,89507,154287,4243,5460,62995,13565,158,101892,47714,1
20970,5695,1335,0,164,0,0,0,0,0,1
195135,87414,6377,10087,30300,6695,2553,141850,5922,161406,1
41593,130311,40882,537,387,40517,171615,22220,53374,377806,0
771,1313874,16410,1160,17049,39402,4732,62064,241366,124304,0
73933,242322,10281,33214,23013,4370,21352,18584,13209,12296,0
300103,80237,1227,118455,315877,28477,17713,43341,22583,3940,1
43393,42486,20267,17176,45114,29738,3064,40065,45737,8810,1
425,67921,35650,31890,23237,28929,1910,8201,2048,4549,0
0,0,0,0,0,0,0,0,0,0,1
31755,149,6615,149,1099,12600,8099,18795,3228,2068,0
10020,1816,48969,14059,408,0,0,0,0,0,1
23821,9177,6168,16501,6466,69404,142404,32584,80768,47724,0
0,216,0,0,6200,0,0,0,0,0,1
13487,75514,38469,185165,5969,16018,25458,5638,62408,400514,0
7031,56391,6770,555595,48020,23483,8186,6107,20732,18836,0
8893,7942,37310,42307,82292,15176,8815,9462,13330,2534,0
26336,199921,9285,8924,47081,2378,94946,30243,3965,343632,1
9285,6300,107809,15843,15663,11597,10914,32655,22468,40945,0
172999,58308,54883,17691,42308,6224,19449,6207,10457,34402,0
63552,9734,7032,7804,8519,43169,2409,1659,12947,30539,1
13800,0,2574,451,288,3362,998,959,3713,6657,0
9751,142622,129744,71382,82699,9082,50866,1018,4448,365708,0
8168,8220,34182,922,6215,5918,3087,126,3146,1574,1
10032,73036,37665,1432,175674,88956,41461,10872,59587,20116,0
7592,184,398193,181,1938,1237,159306,14648,1070,1534,0
14118,191,23376,3923,192122,50701,9114,50984,17609,7768,0
16715,12086,4511,11419,3233,185,4789,11270,7162,8530,1
3738,6852,4475,3474,6013,553,4213,37761,25286,12064,1
45214,2276,3689,267816,5822,80362,10436,1330,23008,37945,0
7332,21932,3965,22309,12382,9384,11294,7347,57844,109,1
8216,74540,2804,142140,49911,74955,41562,3557,15546,394375,0
180,321011,9211,13999,106754,167195,614735,4826,364749,17236,0
3352,47011,2401,40333,4214,714,3568,14922,4306,26334,0
2503,5624,200,5589,12064,2365,12845,3421,5572,5252,0
13589,92968,5540,11637,17173,37289,144173,1538,32068,9939,0
124060,63154,4932,4282,8973,70423,29807,5376,6883,14082,0
0,5715,166,2202,159,0,0,0,0,0,1
41353,9669,651,11557,3333,404,23639,6950,4452,7412,1
13533,4097,4179,9663,239,11260,11522,49460,3258,6352,0
23839,10190,4896,1912,20910,12017,776,1660,1074,9797,0
197,35384,61602,15693,5127,67989,28263,39840,8411,5987,0
98,98,102,102,49316,654,41655,1411,2656,6832,0
178846,53784,9721,78846,199683,19480,23949,5815,25218,156,1
9898,23029,2862,316,11733,5995,17178,88796,7159,112389,0
153,0,0,5119,967,0,0,0,0,0,1
2169,1139,42133,335567,3381,30128,5269,15126,7065,2064,1
0,1741,0,0,0,0,0,0,0,0,1
5747,31222,122854,94303,6389,15102,4510,17080,122314,17471,1
103257,195848,212363,258156,9257,46947,22280,20403,100834,1009012,1
25214,56983,45454,914201,14316,22453,23686,15410,25680,61970,1
