29.7,33.9,25.9,528623.5,79265.0,518.2,72.8,2.3,38.0714285714,32.5142857143,25.4,482360.285714,76045.6,440.228571429,116.042857143,1.78571428571,0
44.6,40.3,39.3,619650.6,107092.8,629.7,123.8,2.4,28.9,28.2,37.9,697694.8,91037.7,727.3,73.1,3.5,1
35.0,27.0,21.2,452447.5,62342.5,432.7,131.1,2.2,36.4,29.8,25.6,532309.5,85171.7,711.3,118.9,2.2,0
38.5,28.6,38.2,687598.7,108832.7,779.7,119.3,3.1,44.9,32.5,34.7,548811.1,91163.1,545.2,100.7,3.0,1
40.6,31.7,29.6,587007.8,88009.7,698.3,86.2,2.7,47.3,28.1,33.4,662282.7,100642.3,756.5,111.6,2.3,0
39.0,29.1,27.7,501625.3,80593.8,551.9,106.6,2.2,39.8,29.1,33.9,552621.4,92695.8,571.9,96.8,2.3,1
51.9,27.8,34.2,709153.9,98789.2,579.7,89.7,2.8,43.2857142857,38.3,25.4285714286,507532.614286,74582.4714286,499.071428571,106.742857143,2.24285714286,1
40.3,29.3,27.0,618297.9,80782.6,578.6,92.6,2.4,40.0,32.9,33.3,565910.7,99434.0,670.0,110.3,2.0,1
57.7,34.9,22.9,393755.4,74908.7,487.9,140.3,2.2,36.0,30.0,35.3,585177.4,98247.7,590.8,103.7,3.3,0
40.4,26.9,29.0,518556.8,87570.3,554.0,69.2,2.9,39.5,35.8,32.9,610747.1,98978.9,577.3,72.2,1.8,1
42.1,32.9,31.4,537375.3,97717.2,540.0,84.6,2.6,30.4,31.4,30.6,646491.5,85640.2,673.3,78.5,2.5,1
47.9,37.5,41.4,618277.2,115791.6,549.7,129.3,2.5,31.3,32.0,29.2,516178.2,77311.2,580.4,81.2,2.5,1
44.9,32.6,24.9,397923.7,78059.6,353.2,95.4,2.4,27.1,29.8,27.4,551072.1,73853.0,587.3,73.9,2.3,0
50.4,31.8,24.2,565998.3,86250.7,598.7,153.2,2.8,46.3,20.3,23.0,438422.8,66509.0,515.2,93.8,2.7,1
40.5,33.2,26.9,504059.2,77980.8,391.5,110.9,2.0,45.4,26.8,26.2,500489.5,82175.3,494.0,117.9,2.3,0
46.4,29.1,25.5,504948.0,81082.1,605.3,96.1,3.2,40.2,33.6,26.7,495621.7,83669.4,585.0,84.7,2.3,1
42.0333333333,29.2666666667,25.0,559570.466667,70772.3666667,496.433333333,74.0666666667,2.6,45.4,23.2,28.8,485134.8,79288.7,491.9,131.8,2.6,0
58.8,29.6,31.5,492910.0,108509.9,603.8,140.9,3.6,43.5,30.3,31.9,767878.7,106689.0,759.3,108.9,2.5,0
46.8,34.9,29.7,627938.4,97603.4,725.8,105.7,2.9,55.1,35.7,29.5,513731.6,83419.7,498.5,81.0,2.9,1
40.6,30.4,32.7,591123.5,83429.3,495.9,98.9,2.4,37.3,29.1,35.3,632536.3,103813.4,785.5,95.1,2.2,0
41.2,25.9,21.1,568812.6,63016.6,418.0,151.6,2.2,41.2,28.1,28.3,536661.4,83782.6,521.6,133.9,2.1,0
34.6,29.7,29.2,568337.9,83691.8,571.0,122.0,2.4,38.6,36.2,34.4,556680.2,92771.9,577.7,111.3,2.4,0
46.4,35.0,33.8,645977.4,101561.3,738.5,87.3,2.4,33.3,32.1,28.6,515030.8,81592.1,548.8,86.0,1.7,0
44.6,25.9,28.3,468821.9,77443.2,546.0,119.9,2.4,32.0,31.5,26.9,608357.7,80370.8,663.7,71.1,2.0,1
50.4,34.8,28.9,476404.4,86310.8,489.2,89.6,2.5,37.6,29.9,27.8,566608.4,99389.6,647.3,151.6,3.0,0
44.1,39.5,27.8,471882.5,82270.8,375.4,69.0,1.8,36.0,35.2,27.1,512410.5,75592.6,494.7,103.8,2.1,1
44.0,25.7,27.9,536744.5,73587.7,412.4,117.0,2.5,49.9,26.4,29.3,511163.5,93253.7,436.6,153.6,2.6,1
42.2,30.7,34.1,593452.6,94416.3,652.0,82.1,3.5,37.75,30.5,36.4,550750.95,94251.35,664.1,59.4,2.7,0
45.1,33.9,32.6,449831.1,78445.4,415.0,153.6,2.5,40.1,28.8,25.6,485736.3,71837.9,450.7,109.3,2.8,1
43.0,27.8,24.7,551338.2,72095.3,530.6,89.1,3.1,34.5,30.2,29.2,491447.7,73085.4,517.9,118.3,2.2,0
39.6,26.1,34.5,580917.1,89501.0,694.9,113.5,2.5,44.8,26.6,27.8,596154.6,84529.8,547.4,118.6,2.7,0
38.9,29.4,26.2,577422.7,80051.2,487.8,197.3,2.7,46.0,28.1,31.9,565339.5,93673.1,641.0,176.9,3.1,0
42.8,33.0,33.7,729190.5,106101.0,729.5,110.9,2.0,30.6,36.1,22.4,438277.2,64470.5,381.2,55.0,2.2,1
44.0,39.8,31.2,558770.5,110135.9,638.2,123.0,1.9,35.6,28.4,29.8,479539.5,64577.1,384.7,58.6,2.2,0
38.8,32.0,30.7,552528.9,81331.5,566.5,90.9,2.6,29.8,31.6,29.5,494400.7,72826.3,550.3,84.5,2.1,1
32.6,33.0,39.8,642633.5,105489.5,728.5,88.0,2.6,43.5571428571,31.1571428571,34.7571428571,522923.685714,96270.0285714,427.728571429,115.214285714,2.72857142857,1
45.3,37.2,39.4,590687.9,109691.5,641.9,99.5,2.4,34.4,32.7,33.9,661877.1,98986.9,755.7,97.6,2.3,1
50.6,32.0,25.5,510843.2,86794.9,573.1,120.4,2.6,38.8,28.1,30.4,543959.7,94361.9,610.4,105.9,2.4,0
39.8,39.1,37.9,535328.1,101437.5,557.8,124.1,2.3,33.4,37.5,32.3,617210.1,103762.3,715.7,73.3,2.2,1
48.6,30.7333333333,27.8333333333,529003.8,93149.1,577.233333333,143.966666667,2.13333333333,50.0,33.2,34.8,558911.4,100384.9,523.9,118.2,2.2,1
47.3,31.5,39.9,583813.0,91107.6,517.7,94.3,3.2,35.0,27.1,30.3,530993.1,91897.8,595.3,100.7,2.4,1
32.6,33.0,24.0,557032.266667,74507.3333333,559.4,65.5,2.13333333333,44.7,31.5,27.3,467703.8,76217.6,457.1,146.0,2.8,1
48.3,25.5,24.4,631645.1,69659.2,435.9,101.5,2.5,38.8,34.9,33.4,616200.1,108477.6,592.7,88.5,2.4,0
49.8,37.4,22.2,462476.9,86626.9,465.0,88.7,2.2,37.35,33.85,35.95,676681.6,107476.6,695.65,80.4,2.6,0
